Wurtzite ZnO (type1=Zn q=+2, type2=O q=-2)

2880 atoms
2 atom types

0.0 12.998000 xlo xhi
0.0 16.884897 ylo yhi
0.0 156.207000 zlo zhi

Masses

1 65.38
2 15.9994

Atoms # charge

509 2 -2.0000 0.000000 11.256598 17.609736
510 2 -2.0000 1.624750 14.070748 17.609736
511 2 -2.0000 1.624750 12.194648 20.213186
512 2 -2.0000 0.000000 15.008798 20.213186
513 1 2.0000 0.000000 11.256598 20.827600
514 1 2.0000 1.624750 14.070748 20.827600
515 1 2.0000 1.624750 12.194648 23.431050
516 1 2.0000 0.000000 15.008798 23.431050
517 2 -2.0000 0.000000 11.256598 22.816636
518 2 -2.0000 1.624750 14.070748 22.816636
519 2 -2.0000 1.624750 12.194648 25.420086
520 2 -2.0000 0.000000 15.008798 25.420086
521 1 2.0000 0.000000 11.256598 26.034500
522 1 2.0000 1.624750 14.070748 26.034500
523 1 2.0000 1.624750 12.194648 28.637950
524 1 2.0000 0.000000 15.008798 28.637950
525 2 -2.0000 0.000000 11.256598 28.023536
526 2 -2.0000 1.624750 14.070748 28.023536
527 2 -2.0000 1.624750 12.194648 30.626986
528 2 -2.0000 0.000000 15.008798 30.626986
529 1 2.0000 0.000000 11.256598 31.241400
530 1 2.0000 1.624750 14.070748 31.241400
531 1 2.0000 1.624750 12.194648 33.844850
532 1 2.0000 0.000000 15.008798 33.844850
533 2 -2.0000 0.000000 11.256598 33.230436
534 2 -2.0000 1.624750 14.070748 33.230436
535 2 -2.0000 1.624750 12.194648 35.833886
536 2 -2.0000 0.000000 15.008798 35.833886
537 1 2.0000 0.000000 11.256598 36.448300
538 1 2.0000 1.624750 14.070748 36.448300
539 1 2.0000 1.624750 12.194648 39.051750
540 1 2.0000 0.000000 15.008798 39.051750
541 2 -2.0000 0.000000 11.256598 38.437336
542 2 -2.0000 1.624750 14.070748 38.437336
543 2 -2.0000 1.624750 12.194648 41.040786
544 2 -2.0000 0.000000 15.008798 41.040786
545 1 2.0000 0.000000 11.256598 41.655200
546 1 2.0000 1.624750 14.070748 41.655200
547 1 2.0000 1.624750 12.194648 44.258650
